"","Uniprot_accession","Uniprot_name","description","OrganismName","OrganismIdentifier","GeneName","ProteinExistence","SequenceVersion"
"2103","P33242","STF1_MOUSE","Steroidogenic factor 1","Mus musculus","10090","Nr5a1","1","3"
"2104","P33267","CP2F2_MOUSE","Cytochrome P450 2F2","Mus musculus","10090","Cyp2f2","1","1"
"2105","P33434","MMP2_MOUSE","72 kDa type IV collagenase","Mus musculus","10090","Mmp2","1","1"
"2106","P33435","MMP13_MOUSE","Collagenase 3","Mus musculus","10090","Mmp13","1","1"
"2107","P33534","OPRK_MOUSE","Kappa-type opioid receptor","Mus musculus","10090","Oprk1","1","1"
"2108","P33587","PROC_MOUSE","Vitamin K-dependent protein C","Mus musculus","10090","Proc","1","2"
"2109","P33609","DPOLA_MOUSE","DNA polymerase alpha catalytic subunit","Mus musculus","10090","Pola1","1","2"
"2110","P33622","APOC3_MOUSE","Apolipoprotein C-III","Mus musculus","10090","Apoc3","1","2"
"2111","P33766","FPR1_MOUSE","fMet-Leu-Phe receptor","Mus musculus","10090","Fpr1","2","1"
"2112","P33896","INAR1_MOUSE","Interferon alpha/beta receptor 1","Mus musculus","10090","Ifnar1","1","2"
"2113","P34022","RANG_MOUSE","Ran-specific GTPase-activating protein","Mus musculus","10090","Ranbp1","1","2"
"2114","P34056","AP2A_MOUSE","Transcription factor AP-2-alpha","Mus musculus","10090","Tfap2a","1","2"
"2115","P34057","RECO_MOUSE","Recoverin","Mus musculus","10090","Rcvrn","1","2"
"2116","P34152","FAK1_MOUSE","Focal adhesion kinase 1","Mus musculus","10090","Ptk2","1","4"
"2117","P34821","BMP8A_MOUSE","Bone morphogenetic protein 8A","Mus musculus","10090","Bmp8a","2","1"
"2118","P34884","MIF_MOUSE","Macrophage migration inhibitory factor","Mus musculus","10090","Mif","1","2"
"2119","P34902","IL2RG_MOUSE","Cytokine receptor common subunit gamma","Mus musculus","10090","Il2rg","1","1"
"2120","P34914","HYES_MOUSE","Bifunctional epoxide hydrolase 2","Mus musculus","10090","Ephx2","1","2"
"2121","P34927","ASGR1_MOUSE","Asialoglycoprotein receptor 1","Mus musculus","10090","Asgr1","1","4"
"2122","P34928","APOC1_MOUSE","Apolipoprotein C-I","Mus musculus","10090","Apoc1","1","1"
"2123","P34960","MMP12_MOUSE","Macrophage metalloelastase","Mus musculus","10090","Mmp12","1","3"
"2124","P34968","5HT2C_MOUSE","5-hydroxytryptamine receptor 2C","Mus musculus","10090","Htr2c","2","2"
"2125","P34971","ADRB1_MOUSE","Beta-1 adrenergic receptor","Mus musculus","10090","Adrb1","1","2"
"2126","P35123","UBP4_MOUSE","Ubiquitin carboxyl-terminal hydrolase 4","Mus musculus","10090","Usp4","1","3"
"2127","P35230","REG3B_MOUSE","Regenerating islet-derived protein 3-beta","Mus musculus","10090","Reg3b","1","1"
"2128","P35235","PTN11_MOUSE","Tyrosine-protein phosphatase non-receptor type 11","Mus musculus","10090","Ptpn11","1","3"
"2129","P35242","SFTPA_MOUSE","Pulmonary surfactant-associated protein A","Mus musculus","10090","Sftpa1","1","1"
"2130","P35276","RAB3D_MOUSE","Ras-related protein Rab-3D","Mus musculus","10090","Rab3d","1","1"
"2131","P35278","RAB5C_MOUSE","Ras-related protein Rab-5C","Mus musculus","10090","Rab5c","1","2"
"2132","P35279","RAB6A_MOUSE","Ras-related protein Rab-6A","Mus musculus","10090","Rab6a","1","4"
"2133","P35282","RAB21_MOUSE","Ras-related protein Rab-21","Mus musculus","10090","Rab21","1","4"
"2134","P35283","RAB12_MOUSE","Ras-related protein Rab-12","Mus musculus","10090","Rab12","1","3"
"2135","P35285","RB22A_MOUSE","Ras-related protein Rab-22A","Mus musculus","10090","Rab22a","1","2"
"2136","P35288","RAB23_MOUSE","Ras-related protein Rab-23","Mus musculus","10090","Rab23","1","2"
"2137","P35290","RAB24_MOUSE","Ras-related protein Rab-24","Mus musculus","10090","Rab24","1","2"
"2138","P35292","RAB17_MOUSE","Ras-related protein Rab-17","Mus musculus","10090","Rab17","1","1"
"2139","P35293","RAB18_MOUSE","Ras-related protein Rab-18","Mus musculus","10090","Rab18","1","2"
"2140","P35329","CD22_MOUSE","B-cell receptor CD22","Mus musculus","10090","Cd22","1","2"
"2141","P35330","ICAM2_MOUSE","Intercellular adhesion molecule 2","Mus musculus","10090","Icam2","1","1"
"2142","P35343","CXCR2_MOUSE","C-X-C chemokine receptor type 2","Mus musculus","10090","Cxcr2","2","1"
"2143","P35347","CRFR1_MOUSE","Corticotropin-releasing factor receptor 1","Mus musculus","10090","Crhr1","1","1"
"2144","P35363","5HT2A_MOUSE","5-hydroxytryptamine receptor 2A","Mus musculus","10090","Htr2a","1","1"
"2145","P35374","AGTR2_MOUSE","Type-2 angiotensin II receptor","Mus musculus","10090","Agtr2","1","1"
"2146","P35375","PE2R1_MOUSE","Prostaglandin E2 receptor EP1 subtype","Mus musculus","10090","Ptger1","2","1"
"2147","P35377","OPRX_MOUSE","Nociceptin receptor","Mus musculus","10090","Oprl1","2","1"
"2148","P35378","FSHR_MOUSE","Follicle-stimulating hormone receptor","Mus musculus","10090","Fshr","2","2"
"2149","P35383","P2RY2_MOUSE","P2Y purinoceptor 2","Mus musculus","10090","P2ry2","1","1"
"2150","P35396","PPARD_MOUSE","Peroxisome proliferator-activated receptor delta","Mus musculus","10090","Ppard","1","1"
"2151","P35413","GPR3_MOUSE","G-protein coupled receptor 3","Mus musculus","10090","Gpr3","2","1"
"2152","P35419","PERT_MOUSE","Thyroid peroxidase","Mus musculus","10090","Tpo","2","1"
"2153","P35428","HES1_MOUSE","Transcription factor HES-1","Mus musculus","10090","Hes1","1","1"
"2154","P35436","NMDE1_MOUSE","Glutamate receptor ionotropic, NMDA 2A","Mus musculus","10090","Grin2a","1","2"
"2155","P35438","NMDZ1_MOUSE","Glutamate receptor ionotropic, NMDA 1","Mus musculus","10090","Grin1","1","1"
"2156","P35441","TSP1_MOUSE","Thrombospondin-1","Mus musculus","10090","Thbs1","1","1"
"2157","P35454","NEU1_MOUSE","Oxytocin-neurophysin 1","Mus musculus","10090","Oxt","2","1"
"2158","P35455","NEU2_MOUSE","Vasopressin-neurophysin 2-copeptin","Mus musculus","10090","Avp","2","1"
"2159","P35456","UPAR_MOUSE","Urokinase plasminogen activator surface receptor","Mus musculus","10090","Plaur","1","1"
"2160","P35486","ODPA_MOUSE","Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial","Mus musculus","10090","Pdha1","1","1"
"2161","P35505","FAAA_MOUSE","Fumarylacetoacetase","Mus musculus","10090","Fah","1","2"
"2162","P35546","RET_MOUSE","Proto-oncogene tyrosine-protein kinase receptor Ret","Mus musculus","10090","Ret","1","2"
"2163","P35550","FBRL_MOUSE","rRNA 2'-O-methyltransferase fibrillarin","Mus musculus","10090","Fbl","1","2"
"2164","P35561","KCNJ2_MOUSE","Inward rectifier potassium channel 2","Mus musculus","10090","Kcnj2","1","1"
"2165","P35564","CALX_MOUSE","Calnexin","Mus musculus","10090","Canx","1","1"
"2166","P35569","IRS1_MOUSE","Insulin receptor substrate 1","Mus musculus","10090","Irs1","1","1"
"2167","P35576","G6PC1_MOUSE","Glucose-6-phosphatase catalytic subunit 1","Mus musculus","10090","G6pc1","1","2"
"2168","P35582","FOXA1_MOUSE","Hepatocyte nuclear factor 3-alpha","Mus musculus","10090","Foxa1","1","2"
"2169","P35583","FOXA2_MOUSE","Hepatocyte nuclear factor 3-beta","Mus musculus","10090","Foxa2","1","2"
"2170","P35584","FOXA3_MOUSE","Hepatocyte nuclear factor 3-gamma","Mus musculus","10090","Foxa3","1","1"
"2171","P35585","AP1M1_MOUSE","AP-1 complex subunit mu-1","Mus musculus","10090","Ap1m1","1","3"
"2172","P35601","RFC1_MOUSE","Replication factor C subunit 1","Mus musculus","10090","Rfc1","1","2"
"2173","P35639","DDIT3_MOUSE","DNA damage-inducible transcript 3 protein","Mus musculus","10090","Ddit3","1","1"
"2174","P35689","ERCC5_MOUSE","DNA excision repair protein ERCC-5","Mus musculus","10090","Ercc5","1","4"
"2175","P35700","PRDX1_MOUSE","Peroxiredoxin-1","Mus musculus","10090","Prdx1","1","1"
"2176","P35710","SOX5_MOUSE","Transcription factor SOX-5","Mus musculus","10090","Sox5","1","2"
"2177","P35737","DMB_MOUSE","Class II histocompatibility antigen, M beta 1 chain","Mus musculus","10090","H2-DMb1","2","1"
"2178","P35761","TTK_MOUSE","Dual specificity protein kinase TTK","Mus musculus","10090","Ttk","1","1"
"2179","P35762","CD81_MOUSE","CD81 antigen","Mus musculus","10090","Cd81","1","2"
"2180","P35802","GPM6A_MOUSE","Neuronal membrane glycoprotein M6-a","Mus musculus","10090","Gpm6a","1","1"
"2181","P35803","GPM6B_MOUSE","Neuronal membrane glycoprotein M6-b","Mus musculus","10090","Gpm6b","1","2"
"2182","P35821","PTN1_MOUSE","Tyrosine-protein phosphatase non-receptor type 1","Mus musculus","10090","Ptpn1","1","2"
"2183","P35822","PTPRK_MOUSE","Receptor-type tyrosine-protein phosphatase kappa","Mus musculus","10090","Ptprk","1","1"
"2184","P35831","PTN12_MOUSE","Tyrosine-protein phosphatase non-receptor type 12","Mus musculus","10090","Ptpn12","1","3"
"2185","P35846","FOLR1_MOUSE","Folate receptor alpha","Mus musculus","10090","Folr1","1","2"
"2186","P35917","VGFR3_MOUSE","Vascular endothelial growth factor receptor 3","Mus musculus","10090","Flt4","1","1"
"2187","P35918","VGFR2_MOUSE","Vascular endothelial growth factor receptor 2","Mus musculus","10090","Kdr","1","2"
"2188","P35922","FMR1_MOUSE","Fragile X messenger ribonucleoprotein 1","Mus musculus","10090","Fmr1","1","1"
"2189","P35951","LDLR_MOUSE","Low-density lipoprotein receptor","Mus musculus","10090","Ldlr","1","2"
"2190","P35969","VGFR1_MOUSE","Vascular endothelial growth factor receptor 1","Mus musculus","10090","Flt1","1","1"
"2191","P35979","RL12_MOUSE","60S ribosomal protein L12","Mus musculus","10090","Rpl12","1","2"
"2192","P35991","BTK_MOUSE","Tyrosine-protein kinase BTK","Mus musculus","10090","Btk","1","4"
"2193","P36363","FGF7_MOUSE","Fibroblast growth factor 7","Mus musculus","10090","Fgf7","2","1"
"2194","P36368","EGFB2_MOUSE","Epidermal growth factor-binding protein type B","Mus musculus","10090","Egfbp2","1","1"
"2195","P36369","K1B26_MOUSE","Kallikrein 1-related peptidase b26","Mus musculus","10090","Klk1b26","2","1"
"2196","P36371","TAP2_MOUSE","Antigen peptide transporter 2","Mus musculus","10090","Tap2","1","1"
"2197","P36423","THAS_MOUSE","Thromboxane-A synthase","Mus musculus","10090","Tbxas1","1","2"
"2198","P36536","SAR1A_MOUSE","GTP-binding protein SAR1a","Mus musculus","10090","Sar1a","1","1"
"2199","P36552","HEM6_MOUSE","Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial","Mus musculus","10090","Cpox","1","2"
"2200","P36895","BMR1A_MOUSE","Bone morphogenetic protein receptor type-1A","Mus musculus","10090","Bmpr1a","1","1"
"2201","P36898","BMR1B_MOUSE","Bone morphogenetic protein receptor type-1B","Mus musculus","10090","Bmpr1b","1","1"
"2202","P36993","PPM1B_MOUSE","Protein phosphatase 1B","Mus musculus","10090","Ppm1b","1","1"
"2203","P37040","NCPR_MOUSE","NADPH--cytochrome P450 reductase","Mus musculus","10090","Por","1","2"
"2204","P37172","ACVR1_MOUSE","Activin receptor type-1","Mus musculus","10090","Acvr1","2","2"
"2205","P37217","CD69_MOUSE","Early activation antigen CD69","Mus musculus","10090","Cd69","2","1"
"2206","P37237","FGF8_MOUSE","Fibroblast growth factor 8","Mus musculus","10090","Fgf8","1","1"
"2207","P37238","PPARG_MOUSE","Peroxisome proliferator-activated receptor gamma","Mus musculus","10090","Pparg","1","3"
"2208","P37242","THB_MOUSE","Thyroid hormone receptor beta","Mus musculus","10090","Thrb","1","1"
"2209","P37889","FBLN2_MOUSE","Fibulin-2","Mus musculus","10090","Fbln2","1","2"
"2210","P37913","DNLI1_MOUSE","DNA ligase 1","Mus musculus","10090","Lig1","1","2"
"2211","P38060","HMGCL_MOUSE","Hydroxymethylglutaryl-CoA lyase, mitochondrial","Mus musculus","10090","Hmgcl","1","2"
"2212","P38532","HSF1_MOUSE","Heat shock factor protein 1","Mus musculus","10090","Hsf1","1","2"
"2213","P38533","HSF2_MOUSE","Heat shock factor protein 2","Mus musculus","10090","Hsf2","1","2"
"2214","P38647","GRP75_MOUSE","Stress-70 protein, mitochondrial","Mus musculus","10090","Hspa9","1","3"
"2215","P38649","BGAT_MOUSE","Histo-blood group ABO system transferase","Mus musculus","10090","Abo","1","2"
"2216","P39038","CADH4_MOUSE","Cadherin-4","Mus musculus","10090","Cdh4","2","1"
"2217","P39039","MBL1_MOUSE","Mannose-binding protein A","Mus musculus","10090","Mbl1","1","1"
"2218","P39053","DYN1_MOUSE","Dynamin-1","Mus musculus","10090","Dnm1","1","2"
"2219","P39054","DYN2_MOUSE","Dynamin-2","Mus musculus","10090","Dnm2","1","2"
"2220","P39061","COIA1_MOUSE","Collagen alpha-1(XVIII) chain","Mus musculus","10090","Col18a1","1","4"
"2221","P39087","GRIK2_MOUSE","Glutamate receptor ionotropic, kainate 2","Mus musculus","10090","Grik2","1","4"
"2222","P39098","MA1A2_MOUSE","Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB","Mus musculus","10090","Man1a2","1","1"
"2223","P39428","TRAF1_MOUSE","TNF receptor-associated factor 1","Mus musculus","10090","Traf1","1","2"
"2224","P39429","TRAF2_MOUSE","TNF receptor-associated factor 2","Mus musculus","10090","Traf2","1","1"
"2225","P39447","ZO1_MOUSE","Tight junction protein ZO-1","Mus musculus","10090","Tjp1","1","2"
"2226","P39654","LOX15_MOUSE","Polyunsaturated fatty acid lipoxygenase ALOX15","Mus musculus","10090","Alox15","1","4"
"2227","P39655","LOX12_MOUSE","Polyunsaturated fatty acid lipoxygenase ALOX12","Mus musculus","10090","Alox12","1","4"
"2228","P39688","FYN_MOUSE","Tyrosine-protein kinase Fyn","Mus musculus","10090","Fyn","1","4"
"2229","P39689","CDN1A_MOUSE","Cyclin-dependent kinase inhibitor 1","Mus musculus","10090","Cdkn1a","1","4"
"2230","P39749","FEN1_MOUSE","Flap endonuclease 1","Mus musculus","10090","Fen1","1","1"
"2231","P39876","TIMP3_MOUSE","Metalloproteinase inhibitor 3","Mus musculus","10090","Timp3","1","1"
"2232","P40124","CAP1_MOUSE","Adenylyl cyclase-associated protein 1","Mus musculus","10090","Cap1","1","4"
"2233","P40142","TKT_MOUSE","Transketolase","Mus musculus","10090","Tkt","1","1"
"2234","P40201","CHD1_MOUSE","Chromodomain-helicase-DNA-binding protein 1","Mus musculus","10090","Chd1","1","3"
"2235","P40223","CSF3R_MOUSE","Granulocyte colony-stimulating factor receptor","Mus musculus","10090","Csf3r","1","2"
"2236","P40224","SDF1_MOUSE","Stromal cell-derived factor 1","Mus musculus","10090","Cxcl12","2","2"
"2237","P40226","TPO_MOUSE","Thrombopoietin","Mus musculus","10090","Thpo","2","1"
"2238","P40240","CD9_MOUSE","CD9 antigen","Mus musculus","10090","Cd9","1","2"
"2239","P40336","VP26A_MOUSE","Vacuolar protein sorting-associated protein 26A","Mus musculus","10090","Vps26a","1","1"
"2240","P40338","VHL_MOUSE","von Hippel-Lindau disease tumor suppressor","Mus musculus","10090","Vhl","1","1"
"2241","P40630","TFAM_MOUSE","Transcription factor A, mitochondrial","Mus musculus","10090","Tfam","1","2"
"2242","P40645","SOX6_MOUSE","Transcription factor SOX-6","Mus musculus","10090","Sox6","1","2"
"2243","P40646","SOX7_MOUSE","Transcription factor SOX-7","Mus musculus","10090","Sox7","1","2"
"2244","P40694","SMBP2_MOUSE","DNA-binding protein SMUBP-2","Mus musculus","10090","Ighmbp2","1","1"
"2245","P40749","SYT4_MOUSE","Synaptotagmin-4","Mus musculus","10090","Syt4","1","2"
"2246","P40753","ANFB_MOUSE","Natriuretic peptides B","Mus musculus","10090","Nppb","1","2"
"2247","P40764","DLX2_MOUSE","Homeobox protein DLX-2","Mus musculus","10090","Dlx2","1","1"
"2248","P40935","PNMT_MOUSE","Phenylethanolamine N-methyltransferase","Mus musculus","10090","Pnmt","1","1"
"2249","P40936","INMT_MOUSE","Indolethylamine N-methyltransferase","Mus musculus","10090","Inmt","1","1"
"2250","P41047","TNFL6_MOUSE","Tumor necrosis factor ligand superfamily member 6","Mus musculus","10090","Faslg","1","1"
"2251","P41105","RL28_MOUSE","60S ribosomal protein L28","Mus musculus","10090","Rpl28","1","2"
"2252","P41133","ID3_MOUSE","DNA-binding protein inhibitor ID-3","Mus musculus","10090","Id3","1","1"
"2253","P41136","ID2_MOUSE","DNA-binding protein inhibitor ID-2","Mus musculus","10090","Id2","1","3"
"2254","P41139","ID4_MOUSE","DNA-binding protein inhibitor ID-4","Mus musculus","10090","Id4","1","1"
"2255","P41155","TNFC_MOUSE","Lymphotoxin-beta","Mus musculus","10090","Ltb","2","1"
"2256","P41160","LEP_MOUSE","Leptin","Mus musculus","10090","Lep","1","1"
"2257","P41163","ETV2_MOUSE","ETS translocation variant 2","Mus musculus","10090","Etv2","2","2"
"2258","P41164","ETV1_MOUSE","ETS translocation variant 1","Mus musculus","10090","Etv1","1","1"
"2259","P41183","BCL6_MOUSE","B-cell lymphoma 6 protein homolog","Mus musculus","10090","Bcl6","1","1"
"2260","P41209","CETN1_MOUSE","Centrin-1","Mus musculus","10090","Cetn1","1","1"
"2261","P41216","ACSL1_MOUSE","Long-chain-fatty-acid--CoA ligase 1","Mus musculus","10090","Acsl1","1","2"
"2262","P41230","KDM5C_MOUSE","Lysine-specific demethylase 5C","Mus musculus","10090","Kdm5c","1","4"
"2263","P41233","ABCA1_MOUSE","Phospholipid-transporting ATPase ABCA1","Mus musculus","10090","Abca1","1","4"
"2264","P41234","ABCA2_MOUSE","ATP-binding cassette sub-family A member 2","Mus musculus","10090","Abca2","1","4"
"2265","P41241","CSK_MOUSE","Tyrosine-protein kinase CSK","Mus musculus","10090","Csk","1","2"
"2266","P41245","MMP9_MOUSE","Matrix metalloproteinase-9","Mus musculus","10090","Mmp9","1","2"
"2267","P41251","NRAM1_MOUSE","Natural resistance-associated macrophage protein 1","Mus musculus","10090","Slc11a1","1","2"
"2268","P41272","CD27_MOUSE","CD27 antigen","Mus musculus","10090","Cd27","2","1"
"2269","P41274","TNFL9_MOUSE","Tumor necrosis factor ligand superfamily member 9","Mus musculus","10090","Tnfsf9","1","1"
"2270","P41317","MBL2_MOUSE","Mannose-binding protein C","Mus musculus","10090","Mbl2","1","2"
"2271","P41438","S19A1_MOUSE","Reduced folate transporter","Mus musculus","10090","Slc19a1","1","1"
"2272","P41539","TKN1_MOUSE","Protachykinin-1","Mus musculus","10090","Tac1","2","1"
"2273","P41593","PTH1R_MOUSE","Parathyroid hormone/parathyroid hormone-related peptide receptor","Mus musculus","10090","Pth1r","1","2"
"2274","P41731","CD63_MOUSE","CD63 antigen","Mus musculus","10090","Cd63","1","2"
"2275","P41778","PBX1_MOUSE","Pre-B-cell leukemia transcription factor 1","Mus musculus","10090","Pbx1","1","2"
"2276","P41969","ELK1_MOUSE","ETS domain-containing protein Elk-1","Mus musculus","10090","Elk1","1","3"
"2277","P41971","ELK3_MOUSE","ETS domain-containing protein Elk-3","Mus musculus","10090","Elk3","2","3"
"2278","P42082","CD86_MOUSE","T-lymphocyte activation antigen CD86","Mus musculus","10090","Cd86","1","1"
"2279","P42125","ECI1_MOUSE","Enoyl-CoA delta isomerase 1, mitochondrial","Mus musculus","10090","Eci1","1","2"
"2280","P42128","FOXK1_MOUSE","Forkhead box protein K1","Mus musculus","10090","Foxk1","1","2"
"2281","P42208","SEPT2_MOUSE","Septin-2","Mus musculus","10090","Septin2","1","2"
"2282","P42209","SEPT1_MOUSE","Septin-1","Mus musculus","10090","Septin1","1","2"
"2283","P42225","STAT1_MOUSE","Signal transducer and activator of transcription 1","Mus musculus","10090","Stat1","1","1"
"2284","P42227","STAT3_MOUSE","Signal transducer and activator of transcription 3","Mus musculus","10090","Stat3","1","2"
"2285","P42228","STAT4_MOUSE","Signal transducer and activator of transcription 4","Mus musculus","10090","Stat4","1","1"
"2286","P42230","STA5A_MOUSE","Signal transducer and activator of transcription 5A","Mus musculus","10090","Stat5a","1","1"
"2287","P42232","STA5B_MOUSE","Signal transducer and activator of transcription 5B","Mus musculus","10090","Stat5b","1","1"
"2288","P42337","PK3CA_MOUSE","Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform","Mus musculus","10090","Pik3ca","1","2"
"2289","P42567","EPS15_MOUSE","Epidermal growth factor receptor substrate 15","Mus musculus","10090","Eps15","1","1"
"2290","P42581","HMX3_MOUSE","Homeobox protein HMX3","Mus musculus","10090","Hmx3","1","3"
"2291","P42582","NKX25_MOUSE","Homeobox protein Nkx-2.5","Mus musculus","10090","Nkx2-5","1","1"
"2292","P42586","NKX22_MOUSE","Homeobox protein Nkx-2.2","Mus musculus","10090","Nkx2-2","1","2"
"2293","P42669","PURA_MOUSE","Transcriptional activator protein Pur-alpha","Mus musculus","10090","Pura","1","1"
"2294","P42682","TXK_MOUSE","Tyrosine-protein kinase TXK","Mus musculus","10090","Txk","1","1"
"2295","P42703","LIFR_MOUSE","Leukemia inhibitory factor receptor","Mus musculus","10090","Lifr","1","1"
"2296","P42859","HD_MOUSE","Huntingtin","Mus musculus","10090","Htt","1","2"
"2297","P42866","OPRM_MOUSE","Mu-type opioid receptor","Mus musculus","10090","Oprm1","1","1"
"2298","P42867","GPT_MOUSE","UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase","Mus musculus","10090","Dpagt1","1","2"
"2299","P42932","TCPQ_MOUSE","T-complex protein 1 subunit theta","Mus musculus","10090","Cct8","1","3"
"2300","P43006","EAA2_MOUSE","Excitatory amino acid transporter 2","Mus musculus","10090","Slc1a2","1","1"
"2301","P43021","NODAL_MOUSE","Nodal","Mus musculus","10090","Nodal","2","2"
"2302","P43027","GDF5_MOUSE","Growth/differentiation factor 5","Mus musculus","10090","Gdf5","1","2"
"2303","P43028","GDF6_MOUSE","Growth/differentiation factor 6","Mus musculus","10090","Gdf6","2","2"
"2304","P43029","GDF7_MOUSE","Growth/differentiation factor 7","Mus musculus","10090","Gdf7","2","2"
"2305","P43081","GUC1A_MOUSE","Guanylyl cyclase-activating protein 1","Mus musculus","10090","Guca1a","1","3"
"2306","P43120","HHEX_MOUSE","Hematopoietically-expressed homeobox protein Hhex","Mus musculus","10090","Hhex","1","1"
"2307","P43135","COT2_MOUSE","COUP transcription factor 2","Mus musculus","10090","Nr2f2","1","2"
"2308","P43136","NR2F6_MOUSE","Nuclear receptor subfamily 2 group F member 6","Mus musculus","10090","Nr2f6","1","2"
"2309","P43137","LIT1_MOUSE","Lithostathine-1","Mus musculus","10090","Reg1","1","1"
"2310","P43241","CDX2_MOUSE","Homeobox protein CDX-2","Mus musculus","10090","Cdx2","1","1"
"2311","P43247","MSH2_MOUSE","DNA mismatch repair protein Msh2","Mus musculus","10090","Msh2","1","1"
"2312","P43252","PI2R_MOUSE","Prostacyclin receptor","Mus musculus","10090","Ptgir","1","1"
"2313","P43267","SOX15_MOUSE","Protein SOX-15","Mus musculus","10090","Sox15","1","3"
"2314","P43274","H14_MOUSE","Histone H1.4","Mus musculus","10090","H1-4","1","2"
"2315","P43275","H11_MOUSE","Histone H1.1","Mus musculus","10090","H1-1","1","2"
"2316","P43276","H15_MOUSE","Histone H1.5","Mus musculus","10090","H1-5","1","2"
"2317","P43277","H13_MOUSE","Histone H1.3","Mus musculus","10090","H1-3","1","2"
"2318","P43300","EGR3_MOUSE","Early growth response protein 3","Mus musculus","10090","Egr3","2","2"
"2319","P43345","TLX1_MOUSE","T-cell leukemia homeobox protein 1","Mus musculus","10090","Tlx1","1","1"
"2320","P43346","DCK_MOUSE","Deoxycytidine kinase","Mus musculus","10090","Dck","1","1"
"2321","P43404","ZAP70_MOUSE","Tyrosine-protein kinase ZAP-70","Mus musculus","10090","Zap70","1","3"
"2322","P43406","ITAV_MOUSE","Integrin alpha-V","Mus musculus","10090","Itgav","1","2"
"2323","P43407","SDC2_MOUSE","Syndecan-2","Mus musculus","10090","Sdc2","1","1"
"2324","P43431","IL12A_MOUSE","Interleukin-12 subunit alpha","Mus musculus","10090","Il12a","1","1"
"2325","P43432","IL12B_MOUSE","Interleukin-12 subunit beta","Mus musculus","10090","Il12b","1","1"
"2326","P43488","TNFL4_MOUSE","Tumor necrosis factor ligand superfamily member 4","Mus musculus","10090","Tnfsf4","1","1"
"2327","P43680","SOX18_MOUSE","Transcription factor SOX-18","Mus musculus","10090","Sox18","1","3"
"2328","P43687","HMX2_MOUSE","Homeobox protein HMX2","Mus musculus","10090","Hmx2","2","3"
"2329","P43688","NKX26_MOUSE","Homeobox protein Nkx-2.6","Mus musculus","10090","Nkx2-6","2","2"
"2330","P43883","PLIN2_MOUSE","Perilipin-2","Mus musculus","10090","Plin2","1","2"
"2331","P45376","ALDR_MOUSE","Aldo-keto reductase family 1 member B1","Mus musculus","10090","Akr1b1","1","3"
"2332","P45377","ALD2_MOUSE","Aldose reductase-related protein 2","Mus musculus","10090","Akr1b8","1","2"
"2333","P45448","NR5A2_MOUSE","Nuclear receptor subfamily 5 group A member 2","Mus musculus","10090","Nr5a2","1","3"
"2334","P45481","CBP_MOUSE","Histone lysine acetyltransferase CREBBP","Mus musculus","10090","Crebbp","1","3"
"2335","P45591","COF2_MOUSE","Cofilin-2","Mus musculus","10090","Cfl2","1","1"
"2336","P45700","MA1A1_MOUSE","Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA","Mus musculus","10090","Man1a1","1","1"
"2337","P45952","ACADM_MOUSE","Medium-chain specific acyl-CoA dehydrogenase, mitochondrial","Mus musculus","10090","Acadm","1","1"
"2338","P46061","RAGP1_MOUSE","Ran GTPase-activating protein 1","Mus musculus","10090","Rangap1","1","2"
"2339","P46062","SIPA1_MOUSE","Signal-induced proliferation-associated protein 1","Mus musculus","10090","Sipa1","1","2"
"2340","P46096","SYT1_MOUSE","Synaptotagmin-1","Mus musculus","10090","Syt1","1","1"
"2341","P46097","SYT2_MOUSE","Synaptotagmin-2","Mus musculus","10090","Syt2","1","1"
"2342","P46099","KLF1_MOUSE","Krueppel-like factor 1","Mus musculus","10090","Klf1","1","2"
"2343","P46412","GPX3_MOUSE","Glutathione peroxidase 3","Mus musculus","10090","Gpx3","1","2"
"2344","P46414","CDN1B_MOUSE","Cyclin-dependent kinase inhibitor 1B","Mus musculus","10090","Cdkn1b","1","2"
"2345","P46425","GSTP2_MOUSE","Glutathione S-transferase P 2","Mus musculus","10090","Gstp2","1","2"
"2346","P46460","NSF_MOUSE","Vesicle-fusing ATPase","Mus musculus","10090","Nsf","1","2"
"2347","P46467","VPS4B_MOUSE","Vacuolar protein sorting-associated protein 4B","Mus musculus","10090","Vps4b","1","2"
"2348","P46471","PRS7_MOUSE","26S proteasome regulatory subunit 7","Mus musculus","10090","Psmc2","1","5"
"2349","P46638","RB11B_MOUSE","Ras-related protein Rab-11B","Mus musculus","10090","Rab11b","1","3"
"2350","P46656","ADX_MOUSE","Adrenodoxin, mitochondrial","Mus musculus","10090","Fdx1","1","1"
"2351","P46660","AINX_MOUSE","Alpha-internexin","Mus musculus","10090","Ina","1","3"
"2352","P46662","MERL_MOUSE","Merlin","Mus musculus","10090","Nf2","1","2"
"2353","P46664","PURA2_MOUSE","Adenylosuccinate synthetase isozyme 2","Mus musculus","10090","Adss2","1","2"
"2354","P46684","ZIC1_MOUSE","Zinc finger protein ZIC 1","Mus musculus","10090","Zic1","1","2"
